PRDID,LOCID,CURRID,ZDIVISIONID,ZGROUPKEYID,ZSALESOFFICEID,ZVKORGID,ZVTWEGID,KEYFIGUREDATE,ZNETTO2REVENUE
719095,99999999_Dummy,EUR,01,ZZ0246,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0246,99999999_Dummy,1010,01,2023-06-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0246,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0246,99999999_Dummy,1010,01,2023-11-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2021-01-31,5070.75
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2021-03-31,-26.85
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2021-06-30,1241.2
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2021-07-31,2150.6
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2021-08-31,1114.2
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2021-09-30,1989.9
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2021-10-31,194.99
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2021-11-30,517.7
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2021-12-31,509.67
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2022-01-31,123.8
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2022-02-28,6145.34
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2022-06-30,-4.73
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2022-07-31,4494.3
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2022-08-31,-4.05
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2022-09-30,-4.06
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2022-10-31,4537.57
719095,99999999_Dummy,EUR,01,ZZ0248,1004,1010,01,2022-11-30,-4.06
719095,99999999_Dummy,EUR,01,ZZ0248,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0248,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-01-31,707.88
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-02-28,-7.2
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-03-31,-3.95
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-04-30,104.36
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-05-31,-3.7
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-06-30,145.7
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-07-31,134.12
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-08-31,133.82
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-09-30,-7.75
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-10-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2022-01-31,131.16
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2022-04-30,-4.78
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2022-06-30,-23.7
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2022-07-31,171.4
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2022-08-31,-14.45
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2022-10-31,171.4
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2022-11-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0249,1004,1010,01,2022-12-31,-10.15
719095,99999999_Dummy,EUR,01,ZZ0249,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0249,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2021-02-28,3018.42
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2021-04-30,-2.75
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2021-05-31,-7.5
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2021-06-30,3739.34
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2021-07-31,-9.05
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2021-08-31,3714.79
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2021-10-31,3864.33
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2021-12-31,-43.69
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2022-02-28,3569.46
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2022-04-30,-52.4
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2022-06-30,-21.6
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2022-08-31,4481.4
719095,99999999_Dummy,EUR,01,ZZ0250,1004,1010,01,2022-10-31,-39.06
719095,99999999_Dummy,EUR,01,ZZ0250,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0250,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0290,1009,1030,01,2021-02-28,176.0
719095,99999999_Dummy,EUR,01,ZZ0290,1009,1030,01,2021-04-30,176.0
719095,99999999_Dummy,EUR,01,ZZ0290,1009,1030,01,2022-04-30,191.8
719095,99999999_Dummy,EUR,01,ZZ0290,99999999_Dummy,1030,01,2023-05-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0317,1004,1010,01,2021-03-31,631.5
719095,99999999_Dummy,EUR,01,ZZ0317,1004,1010,01,2021-04-30,4041.6
719095,99999999_Dummy,EUR,01,ZZ0317,1004,1010,01,2021-05-31,498.47
719095,99999999_Dummy,EUR,01,ZZ0317,1004,1010,01,2021-06-30,397.8
719095,99999999_Dummy,EUR,01,ZZ0317,1004,1010,01,2021-07-31,530.4
